Grid=0.32, ,Grid=0.34,Grid=0.38,Grid=0.46, 
Temperature,S_l,S_l,S_l,S_l
337.931034483,45.5075984301,45.5251196068,45.5370932309,45.4584966314
375.862068966,54.3339460307,54.3547773536,54.3432591279,54.2045378796
413.793103448,64.0781883632,64.0997496769,64.0701601279,63.9495855495
451.724137931,74.9071461842,74.8746599985,74.7969059373,74.7079361899
489.655172414,86.7672535641,86.7711308806,86.7868982757,86.5455191435
527.586206897,99.7987543286,99.8160519584,99.7549873289,99.4941080964
565.517241379,114.082246612,114.063280449,114.02896552,113.782905135
603.448275862,129.644369612,129.644740778,129.652053139,129.430860328
641.379310345,146.686378931,146.630851192,146.548828778,146.654099327
679.310344828,165.092763992,165.073374268,165.066883672,165.158636627
717.24137931,185.106982322,185.179273646,185.117622174,185.285421039
755.172413793,207.053231447,206.986527712,207.028334604,207.311720475
793.103448276,230.665264832,230.549202625,230.680068626,230.981533474
831.034482759,256.405911953,256.404609696,256.168207704,256.713464185
868.965517241,283.806751333,283.804652392,283.92551209,284.131880133
906.896551724,313.471948424,313.39902529,313.539651925,313.853242211
944.827586207,345.029256725,344.855888077,344.954156193,345.432503058
982.75862069,378.514778986,378.723908465,378.493529391,379.068562022
1020.68965517,414.426828897,414.783947032,414.430646557,415.384425075
1058.62068966,452.720659566,452.793574873,452.747275371,453.745676964
1096.55172414,493.770961235,493.6129091,493.685654598,495.214058516
1134.48275862,537.396422224,537.269093054,537.091135739,539.528113036
1172.4137931,584.086799067,584.031959592,584.163015931,587.266763504
1210.34482759,635.225584046,635.263337967,636.311370427,641.299192397
1248.27586207,694.701272547,696.449656864,702.588786151,723.939150972
1286.20689655,805.052556381,835.422277668,935.496469524,1091.59286556
1324.13793103,1231.53365471,1306.7924798,1503.90064041,1826.65964503
1362.06896552,2035.79289568,2162.6666718,2416.47771602,2922.39790787
1400.0,3203.9437668,3403.82877046,3803.65632901,4603.46938586
