z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,11.7902154375,-9.95950726622e-224,1200.0,0.28062934197075246,1.87554763897e-08,7.05405884309e-12,1.18309670767e-12,0.190114036774,3.41847611769e-12,4.38521415997e-08,3.18993995364e-10,4.51345415462e-11,4.28479001394e-17,4.38805455917e-23,3.39816372196e-16,4.80988877474e-17,2.58005799432e-09,0.095056981633,3.76601541729e-09,1.26028024401e-11,2.07633314404e-14,1.82438743125e-08,9.430445423e-17,4.29361655229e-13,1.70155155808e-10,6.42443495996e-23,1.22228385718e-13,3.87855189697e-17,3.45489361865e-10,1.17893097539e-13,6.27559224315e-09,1.93222425112e-19,1.11018425371e-12,1.05197406259e-16,5.79591258384e-17,4.44040948291e-23,5.20392560403e-17,3.96948677595e-21,7.8049805017e-19,1.89605182106e-19,3.80918668006e-20,1.57530895857e-14,2.78496623091e-23,-2.55121788316e-17,-7.9969003782e-16,2.71939987613e-26,1.57429883691e-25,-7.14819879011e-20,8.16121340436e-17,-9.41827833407e-16,-6.57415145225e-22,0.714828887214,-1.10479765311e-218,1.46606259099e-17,2.966525806e-13,1.71652353851e-16,2.54463678377e-15
0.079,11.7986893579,-9.95950726637e-224,1200.85863956,0.2804277915580789,2.20095510839e-05,4.98732803615e-09,3.2311266022e-09,0.189987911966,9.51533674106e-09,0.000141765037622,1.34232447814e-06,1.91216194036e-07,7.28876694126e-23,1.12042528454e-19,1.2675121623e-12,1.79408439972e-13,9.84366650637e-06,0.0948675677213,1.59553978701e-05,6.56371478138e-08,1.00819741598e-10,8.93164694681e-05,4.70555275563e-13,2.14240561182e-09,8.52436458337e-07,3.1792389368e-19,6.09961356533e-10,1.95785543087e-13,1.74629245766e-06,6.48329927874e-10,3.47954606449e-05,6.53791413364e-16,6.39870999765e-09,8.49284865913e-15,3.95495712046e-20,1.151310348e-19,3.74270863005e-17,1.36648473254e-17,3.38706036575e-15,8.09712003837e-16,1.82959544993e-16,8.32528587824e-11,1.17300348439e-19,-2.67910426988e-22,-7.95257215443e-16,1.34202912665e-22,5.32691297943e-22,-7.1165218801e-20,8.108833683e-17,-9.42686567843e-16,-3.44303881263e-18,0.714826606968,-1.10479412903e-218,1.04168511107e-13,2.11980110305e-09,9.93925272522e-13,1.44540959573e-11
0.1185,11.804998303,-9.95950726645e-224,1201.49663545,0.2802779225361918,3.95567771295e-05,7.92902171041e-09,4.5205521317e-09,0.189898665036,1.3599664447e-08,0.000243558555433,1.86096126883e-06,2.83314566084e-07,3.65398541699e-26,2.40055914617e-19,2.15405395229e-12,3.0972074765e-13,1.21924495418e-05,0.0947349313469,3.14124279961e-05,1.28876300632e-07,1.95980039975e-10,0.000147227757074,1.07937722246e-12,3.39009930413e-09,1.52219867289e-06,9.90256397278e-19,1.32255731595e-09,4.84773356747e-13,3.35171340126e-06,1.19495626457e-09,6.11034375056e-05,2.14443416851e-15,1.44024785208e-08,2.15142939518e-14,4.73357078336e-20,2.91584057634e-19,2.78621599749e-17,2.26363767164e-17,5.38835377153e-15,1.45118965984e-15,4.06248347189e-16,1.41468002951e-10,2.9601286782e-19,-2.79771373881e-25,-7.91195449449e-16,2.01768759092e-22,1.13886972951e-21,-7.07784780021e-20,8.06740560002e-17,-9.42322200158e-16,-7.91558722708e-19,0.714824153884,-1.1047903378e-218,2.47208786541e-13,4.52772959599e-09,2.47747208307e-12,3.30175404423e-11
0.158,11.8136899453,-9.95950726652e-224,1202.37117065,0.2800717146994538,6.56258298383e-05,1.17138470068e-08,6.0014634563e-09,0.189777506373,1.84683720094e-08,0.000382646780751,2.48853576579e-06,4.0406147757e-07,1.07978616046e-25,4.83246715866e-19,3.29066776392e-12,4.80207208227e-13,1.42503942986e-05,0.0945577571985,5.77392555846e-05,2.43985313337e-07,3.34918797596e-10,0.000218215946426,2.15946635511e-12,4.99367209573e-09,2.50007749537e-06,2.90256150016e-18,2.83586572242e-09,1.06910116193e-12,6.02848788046e-06,1.99811711342e-09,9.63498579865e-05,6.62425490657e-15,3.22250054899e-08,5.9474631166e-14,6.44023530531e-20,6.41903717331e-19,1.78814811472e-17,3.19763711504e-17,7.97139727899e-15,2.48722242012e-15,9.04501372508e-16,2.20167153838e-10,6.50920371295e-19,-3.71635494217e-25,-7.8372115563e-16,3.2353338234e-22,2.28668306017e-21,-6.98836694183e-20,8.00662018852e-17,-9.41396999695e-16,-1.49956851053e-19,0.71481815516,-1.1047810667e-218,5.18495428533e-13,9.17731905904e-09,5.49307723513e-12,7.36813832218e-11
0.1975,11.8256701351,-9.9595072666e-224,1203.570091,0.2797879834396752,0.000104062862236,1.71271664628e-08,7.99580124243e-09,0.189612019505,2.51466838239e-08,0.000573472180711,3.27131484602e-06,5.69866482949e-07,3.30418679051e-25,1.0107439154e-18,5.028932573e-12,7.44004119155e-13,1.65727923659e-05,0.0943202642936,0.000100494680928,4.57840215958e-07,5.45861607787e-10,0.000305388820532,4.06033283906e-12,7.28368250615e-09,3.9121020745e-06,8.38688031807e-18,5.96514772347e-09,2.28299844951e-12,1.04578107987e-05,3.31741672414e-09,0.000142859992489,2.00814548495e-14,7.06329789557e-08,1.68256651917e-13,8.88572006366e-20,1.35860954453e-18,9.56002904266e-18,3.96944021509e-17,1.16791500886e-14,4.21278917614e-15,1.9714204919e-15,3.25438580615e-10,1.37671675201e-18,-5.01622803214e-25,-7.69415265623e-16,5.23161458381e-22,4.76765070541e-21,-6.77331460062e-20,7.91862569874e-17,-9.39860547267e-16,7.66564499596e-20,0.714806039389,-1.10476234155e-218,1.04271736056e-12,1.80208500493e-08,1.17710079269e-11,1.62256908364e-10
0.237,11.8425108167,-9.95950726667e-224,1205.24616382,0.27939011001441866,0.000161433762578,2.52687304296e-08,1.08531112033e-08,0.189381092656,3.48664640716e-08,0.000840542556763,4.2826333959e-06,8.06265028265e-07,1.08732795968e-24,2.25248905116e-18,7.89576224044e-12,1.18293567164e-12,1.94008256604e-05,0.0939960186178,0.000169122379051,8.68710806999e-07,8.80080911623e-10,0.00041412457796,7.46366773414e-12,1.07185271147e-08,5.96606921929e-06,2.46484764623e-17,1.24916322013e-08,4.90298989358e-12,1.79050601044e-05,5.60091702525e-09,0.000204588137922,6.1567816751e-14,1.53777983485e-07,4.83913458577e-13,1.26935928721e-19,2.86772389749e-18,4.15541765224e-18,4.47154527222e-17,1.72828434438e-14,7.23585455944e-15,4.24026349921e-15,4.6690239114e-10,2.9038768458e-18,-6.77106537983e-25,-7.40018201609e-16,8.8036392855e-22,1.05820636498e-20,-6.21656967931e-20,7.79071952647e-17,-9.37243534894e-16,3.16113993127e-19,0.714783557246,-1.10472759478e-218,2.08088640426e-12,3.51664995148e-08,2.52904946907e-11,3.61669483805e-10
0.25675,11.8524954843,-9.95950726671e-224,1206.23721864,0.27915474882792,0.000196377841173,3.05349671628e-08,1.26422402359e-08,0.189244588657,4.1031891439e-08,0.000998533089313,4.86938410666e-06,9.53167760703e-07,1.96732401402e-24,3.37086223466e-18,9.89618534193e-12,1.49090279688e-12,2.09740255012e-05,0.0938065620309,0.000212112327206,1.14981985172e-06,1.10514843609e-09,0.000474912053243,9.92432221237e-12,1.29408303039e-08,7.19916487617e-06,3.99415603115e-17,1.70789637323e-08,6.97928899373e-12,2.27006770465e-05,7.22605470788e-09,0.000240009719162,1.01199851268e-13,2.13186100926e-07,7.38148443081e-13,1.52598708569e-19,4.09082480359e-18,2.39510157459e-18,4.64204317932e-17,2.09227938684e-14,9.26033937446e-15,5.8442479932e-15,5.4860864823e-10,4.13921967023e-18,-7.79185834573e-25,-7.18792158611e-16,1.14454272429e-21,1.57999396719e-20,-5.77406785138e-20,7.71412943991e-17,-9.35503455698e-16,4.77292462151e-19,0.714768674147,-1.10470459255e-218,2.84417954788e-12,4.70229677383e-08,3.59553415876e-11,5.10966317018e-10
0.2765,11.8644475893,-9.95950726675e-224,1207.42030275,0.27887353161744316,0.000239316360783,3.71793720876e-08,1.48539179347e-08,0.189081628983,4.87188776346e-08,0.00118724020523,5.55463959856e-06,1.13331277263e-06,3.67293612735e-24,5.1654325673e-18,1.25692283881e-11,1.9036616777e-12,2.27669326801e-05,0.0935831766614,0.000266278367327,1.53958501659e-06,1.39627276006e-09,0.000543385805653,1.3262809739e-11,1.57396820713e-08,8.6900461786e-06,6.61455169917e-17,2.36216113072e-08,1.00763528775e-11,2.89380182224e-05,9.4177847576e-09,0.000280871015211,1.69951308945e-13,2.99243305784e-07,1.15599840856e-12,1.86377708756e-19,5.89448005776e-18,1.41743707547e-18,4.75913163909e-17,2.55316850659e-14,1.20170334637e-14,8.13876702282e-15,6.43598687786e-10,5.96031259304e-18,-8.91414592291e-25,-6.87297679956e-16,1.51652550651e-21,2.41470124041e-20,-5.04771640841e-20,7.62189782638e-17,-9.33102340305e-16,6.98598081593e-19,0.714748964797,-1.10467413122e-218,3.9236129092e-12,6.36220290566e-08,5.17748945427e-11,7.38298072558e-10
0.29625,11.8789331198,-9.95950726679e-224,1208.85008345,0.27853346479364205,0.000292717807981,4.57438923882e-08,1.76478353783e-08,0.188884613935,5.85144096954e-08,0.00141542224646,6.36879636696e-06,1.35748922339e-06,7.14042598879e-24,8.15572161508e-18,1.62414739234e-11,2.47217149488e-12,2.48480182491e-05,0.0933167169526,0.000335166221111,2.08900754713e-06,1.78149684283e-09,0.000621262597187,1.78872549473e-11,1.93388435046e-08,1.05101656151e-05,1.12554884013e-16,3.31300598814e-08,1.48187297495e-11,3.71577777463e-05,1.24401146732e-08,0.000328344260184,2.92987579976e-13,4.26141923572e-07,1.86033498439e-12,2.32403376455e-19,8.62107287144e-18,1.06107326428e-18,4.86181898455e-17,3.14974929941e-14,1.58532450631e-14,1.14703359589e-14,7.5504028242e-10,8.71016660731e-18,-1.00420097429e-24,-6.38968780017e-16,2.05965020452e-21,3.80054443816e-20,-3.8076949608e-20,7.50996204433e-17,-9.29658728404e-16,1.00399499884e-18,0.714722720756,-1.10463357035e-218,5.48043842649e-12,8.72478330402e-08,7.58055074778e-11,1.09241015861e-09
0.316,11.8967788676,-9.95950726683e-224,1210.60627473,0.27811565102888014,0.000360233544243,5.70972278555e-08,2.12776395689e-08,0.188642435164,7.13586252244e-08,0.00169585119356,7.35820653363e-06,1.64262069176e-06,1.46460418703e-23,1.33898904023e-17,2.14705354312e-11,3.28340284559e-12,2.73196819585e-05,0.092993959172,0.000424014123354,2.88028217439e-06,2.30657077603e-09,0.000710964938828,2.44771386451e-11,2.4095137854e-08,1.27624480368e-05,1.98383627563e-16,4.72962359267e-08,2.23354463962e-11,4.81827206741e-05,1.6730563522e-08,0.000384040900834,5.22311820583e-13,6.17743441507e-07,3.08710133695e-12,2.98008949742e-19,1.28861489875e-17,1.21929914128e-18,5.00877698112e-17,3.94456852645e-14,2.13498767171e-14,1.64045764716e-14,8.87465730044e-10,1.30051783157e-17,-1.08740653769e-24,-5.61544895689e-16,2.89102655914e-21,6.21581686725e-20,-1.58231439351e-20,7.37263004941e-17,-9.24516667226e-16,1.42858491899e-18,0.714687372716,-1.10457893905e-218,7.78573298983e-12,1.2163578826e-07,1.13472030223e-10,1.66123920376e-09
