z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.185843680682,0.0,298.0,5.650255290084193,-9.61994488719e-16,3.05324333892e-14,1.23229830846e-16,0.190114068441,6.98653744222e-14,3.47412730146e-15,3.01263929184e-15,-6.31418250547e-15,-5.15911109824e-15,-6.36003444235e-31,1.12569855778e-15,1.2024935982e-29,3.7628473968e-15,0.0950570342205,9.01941736778e-16,1.70225453266e-17,6.06100202932e-22,4.47553005195e-14,7.40014553455e-29,-4.45030331098e-22,4.16288201013e-16,1.27538781708e-14,-8.76638223609e-17,-2.26060443203e-32,1.68513264715e-14,-1.87723346817e-22,-1.90763658305e-14,-7.30892507884e-32,-1.30450906804e-16,2.77553294794e-17,8.35942256096e-15,-7.35181086683e-18,8.56027957822e-18,3.28608981368e-17,1.43222084018e-30,3.05786245865e-16,-5.4867197116e-15,3.98650889577e-17,-1.42538166528e-15,1.53039492675e-16,-1.97639706881e-15,9.61525833867e-16,-3.39836334386e-30,4.2464256541e-18,8.8532353336e-21,-3.55683424763e-16,5.24968862154e-18,0.714828897338,-6.33829301109e-139,-1.79598115018e-14,2.02985772177e-16,-4.58371539865e-28,-2.87417321901e-17
0.0005,0.185843680683,0.0,298.000000001,5.650255290072824,-9.61141380367e-16,9.37888039617e-20,1.86844828122e-15,0.190114068441,3.12885192114e-16,7.55188440744e-14,7.10082502075e-14,-1.39431902053e-14,-2.45865512916e-21,-2.75748257617e-32,1.09307294548e-20,2.56744889208e-28,8.21463866623e-14,0.0950570342205,2.12768362437e-14,5.21353749186e-16,1.86907567526e-20,4.49630530816e-14,2.31390323474e-27,-1.39092614682e-20,4.1628548716e-16,3.57521994127e-21,-8.766381941e-17,-6.63873135716e-31,1.68505574951e-14,-6.0977771519e-21,-2.21935696385e-14,-1.48064345919e-30,-1.30450908043e-16,2.77553294765e-17,1.5092304746e-15,-1.38336040172e-20,8.56010560005e-18,3.28608986481e-17,3.40999683253e-29,7.26068463389e-15,-5.48676758379e-15,3.98640317819e-17,-1.42492993027e-15,1.19481444342e-22,-1.97638751527e-15,9.61588179031e-16,-2.69287000398e-32,4.24642569259e-18,8.85323529328e-21,-3.55683422861e-16,1.60336253108e-16,0.714828897338,-1.74950455794e-138,-1.79590854807e-14,2.03001670908e-16,-1.60612747241e-26,-2.8741732173e-17
0.00075,0.185843680683,0.0,298.000000001,5.650255290072871,-9.60245550549e-16,7.78254333341e-24,2.71196298381e-15,0.190114068441,4.34335214749e-18,7.60229201673e-14,7.83486601795e-14,-1.76126032345e-14,-2.43705326406e-27,-2.06845315166e-38,2.16800102745e-25,6.69678190014e-29,8.09408023367e-14,0.0950570342205,2.12775030445e-14,5.21358068582e-16,6.62565587924e-26,4.49624046531e-14,-4.45403761759e-28,-2.31244812622e-20,4.16286244197e-16,2.05025726869e-27,-8.76638173629e-17,-9.78663674288e-36,1.68501779544e-14,-6.0444766118e-21,-2.11282171285e-14,6.87556026385e-33,-1.30450909225e-16,2.77553294742e-17,4.69937979566e-16,-5.42320176175e-23,8.5600216799e-18,3.28608990803e-17,2.88187677472e-33,8.32425125504e-15,-5.4867964638e-15,3.98634846602e-17,-1.42470395705e-15,1.9176553689e-28,-1.97638527261e-15,9.61603363985e-16,-6.7800284307e-38,4.24642573097e-18,8.85323525274e-21,-3.55683420945e-16,1.60337110226e-16,0.714828897338,-2.00018843068e-138,-1.79587393683e-14,2.0300950701e-16,-1.3391046181e-26,-2.87417322026e-17
0.001,0.185843680683,0.0,298.000000001,5.650255290073802,-9.58578212139e-16,7.47776301151e-24,2.84244255765e-15,0.190114068441,1.57958518022e-18,7.62171639687e-14,8.54492918212e-14,-2.11622197336e-14,-2.30841344788e-33,-2.06969064137e-42,4.40941134295e-28,7.41826199136e-29,8.6436831708e-14,0.0950570342205,2.12781639484e-14,5.21357498012e-16,-2.09864836267e-28,4.49617591236e-14,-4.50745040219e-28,-2.49553011439e-20,4.16287065503e-16,1.14542635624e-33,-8.7663816541e-17,-1.4574266857e-33,1.68498279645e-14,-5.60788667002e-21,-2.35268513367e-14,4.45263361319e-33,-1.30450909864e-16,2.77553294731e-17,1.44316097743e-16,-1.82877191657e-25,8.55994257303e-18,3.28608992533e-17,2.71877108509e-33,8.65552347243e-15,-5.48682686446e-15,3.98629322489e-17,-1.42447846963e-15,2.98128593683e-34,-1.9763844816e-15,9.6160863395e-16,-1.16526953666e-42,4.24642574982e-18,8.85323523284e-21,-3.55683420004e-16,1.60337842316e-16,0.714828897338,-2.19810783368e-138,-1.79584251877e-14,2.03017227027e-16,-1.15427225033e-26,-2.87417322241e-17
0.0015625,0.185843680682,0.0,298.0,5.650255290080109,-9.43930285284e-16,4.09346145565e-24,2.57127486779e-15,0.190114068441,1.41276786461e-18,7.66083590641e-14,1.00316261741e-13,-2.8594979565e-14,-9.51728270621e-40,1.60768151705e-42,6.34281449507e-28,4.07138732782e-29,1.3460372346e-13,0.0950570342204,2.1278973262e-14,5.21356221317e-16,-1.56437632702e-28,4.49610357132e-14,-3.93057716209e-28,-1.20990249917e-20,4.16288074558e-16,2.81062812034e-40,-8.7663815613e-17,-1.10533745575e-33,1.6849243591e-14,-4.16189469237e-21,-4.71863332067e-14,4.26543734967e-33,-1.30450910737e-16,2.77553294721e-17,2.34192614928e-17,1.67989978137e-26,8.55978652541e-18,3.28608994517e-17,1.48830485642e-33,8.77757818008e-15,-5.48689613469e-15,3.98616849921e-17,-1.42397340854e-15,-4.08625334815e-39,-1.97638428663e-15,9.6160994589e-16,-1.52343686859e-42,4.24642576722e-18,8.85323521446e-21,-3.55683419135e-16,1.60339487053e-16,0.714828897338,-2.59302686353e-138,-1.7957901321e-14,2.03033952252e-16,-8.59596533677e-27,-2.87417322558e-17
0.002125,0.185843680682,0.0,298.0,5.650255290086984,-8.35681387146e-16,6.85603670348e-25,2.25023679834e-15,0.190114068441,1.24280845798e-18,7.69520318631e-14,1.14105631051e-13,-3.54898502028e-14,-3.85208992633e-46,5.14685265799e-43,1.09851849023e-28,6.80545863909e-30,1.87910357077e-13,0.0950570342204,2.12791000997e-14,5.21354916732e-16,-1.14822133647e-28,4.49612105645e-14,-3.4178546534e-28,2.4704193864e-21,4.16288236647e-16,6.80370918148e-47,-8.76638151935e-17,-8.68666677604e-34,1.68488575468e-14,-2.76106366455e-21,-7.36880685789e-14,4.02755478032e-33,-1.30450911363e-16,2.77553294715e-17,3.76179585869e-18,1.49514974703e-26,8.55965056655e-18,3.28608995413e-17,2.49273132558e-34,8.79699286285e-15,-5.48696454831e-15,3.98604370829e-17,-1.42347043154e-15,-3.72903357746e-39,-1.97638424971e-15,9.61609983533e-16,2.9361612117e-44,4.24642577666e-18,8.85323520449e-21,-3.55683418663e-16,1.60341132346e-16,0.714828897338,-2.92637476375e-138,-1.79575457579e-14,2.03049959407e-16,-6.30857067056e-27,-2.8741732277e-17
0.00325,0.185843680682,0.0,298.0,5.650255290091208,1.57875883143e-15,-1.78728566168e-24,1.73065576639e-15,0.190114068441,9.62058543765e-19,7.74848608427e-14,1.3785870552e-13,-4.73679635881e-14,-7.48408355202e-53,-9.44308183387e-43,-3.47186478417e-28,-1.78056097681e-29,2.1480304232e-13,0.0950570342204,2.12783688914e-14,5.21352260327e-16,-6.05686650563e-29,4.49633091585e-14,-2.62524839825e-28,1.41742632657e-20,4.16287336648e-16,-1.67281761808e-49,-8.76638147264e-17,-5.41418808457e-34,1.68485991459e-14,-9.31697477089e-22,-8.68318108217e-14,3.50459588155e-33,-1.30450912292e-16,2.7755329471e-17,3.26073549786e-19,1.15601283273e-26,8.55943991252e-18,3.28608996429e-17,-6.49823994871e-34,8.79958659218e-15,-5.48709336334e-15,3.98579411762e-17,-1.42247101329e-15,-2.86348826839e-39,-1.97638417477e-15,9.61609884016e-16,5.87070776606e-43,4.24642578548e-18,8.85323519517e-21,-3.55683418223e-16,1.60344427609e-16,0.714828897338,-3.39308665548e-138,-1.7957280068e-14,2.03078756737e-16,-3.32664897172e-27,-2.87417322957e-17
0.004375,0.185843680682,0.0,298.0,5.650255290087597,3.67281724803e-14,-1.7121639071e-24,1.32940120334e-15,0.190114068441,7.40760168136e-19,7.7895102549e-14,1.58149482219e-13,-5.75149123681e-14,1.97996094358e-55,1.94560047062e-42,-3.30731607494e-28,-1.70494439125e-29,1.77686834931e-13,0.0950570342204,2.1277673904e-14,5.21349606238e-16,-2.63285495173e-29,4.49655644051e-14,-2.01599748632e-28,1.36202585824e-20,4.16286479471e-16,-1.28422829264e-49,-8.76638142574e-17,-2.91990698742e-34,1.68486224133e-14,6.93446094354e-23,-6.77295184802e-14,2.98942497805e-33,-1.30450913119e-16,2.77553294705e-17,2.8264198553e-20,8.93321343172e-27,8.55927713776e-18,3.28608997445e-17,-6.22511426866e-34,8.79901334832e-15,-5.48721088795e-15,3.98554453066e-17,-1.42147682175e-15,-2.19859282884e-39,-1.97638409766e-15,9.61609798138e-16,-2.638113488e-43,4.2464257943e-18,8.85323518586e-21,-3.55683417782e-16,1.60347728137e-16,0.714828897338,-3.65742701746e-138,-1.79572758876e-14,2.03104032653e-16,-1.44523953132e-27,-2.87417323022e-17
0.0055,0.185843680682,0.0,298.0,5.650255290085795,5.48298497767e-13,-9.30311024814e-25,1.02064267328e-15,0.190114068441,5.69523170206e-19,7.82105026068e-14,1.75334518273e-13,-6.61086278787e-14,-1.12590775059e-52,5.70940495542e-43,-1.79142689599e-28,-9.26819836694e-30,1.78312760399e-13,0.0950570342204,2.12772964592e-14,5.21346968727e-16,-1.9160825427e-29,4.4967873457e-14,-1.54807045903e-28,1.13398920011e-20,4.16286015907e-16,-9.86010077554e-50,-8.76638137869e-17,-2.55060470383e-34,1.68487610665e-14,4.80653845784e-22,-6.77296258034e-14,2.2779053439e-33,-1.3045091381e-16,2.77553294699e-17,2.44995204634e-21,6.8625645604e-27,8.55915221695e-18,3.28608998463e-17,-3.38244555311e-34,8.79815678989e-15,-5.4873149045e-15,3.98529495075e-17,-1.42048685519e-15,-1.68811426637e-39,-1.97638402031e-15,9.61609714037e-16,2.78167749699e-43,4.24642580312e-18,8.85323517654e-21,-3.55683417341e-16,1.60351032656e-16,0.714828897338,-3.81122929941e-138,-1.7957398001e-14,2.03125576079e-16,-1.05172767981e-27,-2.87417323043e-17
0.006625,0.185843680683,0.0,298.0,5.650255290047622,7.99364384165e-12,-4.2489915691e-25,7.83283742588e-16,0.190114068439,4.37429134107e-19,7.8452761337e-14,1.89742826391e-13,-7.33137369758e-14,-1.99443748061e-44,-1.83540619842e-43,-8.12333902685e-29,-4.23412574442e-30,1.78792834643e-13,0.0950570342196,2.1277124001e-14,5.21344342088e-16,-1.39058649953e-29,4.49699355805e-14,-1.18870133215e-28,8.83453677251e-21,4.16285805865e-16,-7.57114783613e-50,-8.76638133031e-17,-1.92382554711e-34,1.68489346354e-14,6.07358861239e-22,-6.77296243014e-14,1.7599072802e-33,-1.30450914398e-16,2.77553294692e-17,2.1236268608e-22,5.27178035029e-27,8.5590609025e-18,3.28608999631e-17,-1.5448617202e-34,8.79726450872e-15,-5.48740358465e-15,3.98504537888e-17,-1.41950028733e-15,-1.29614799661e-39,-1.97638394356e-15,9.61609630554e-16,3.26919586471e-45,4.24642581203e-18,8.85323516705e-21,-3.55683416884e-16,1.60354340203e-16,0.714828897333,-3.95244720179e-138,-1.79575666448e-14,2.03143247779e-16,-7.63392094822e-28,-2.87417323037e-17
