z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.313915366303,0.0,400.0,4.209440191113166,-1.04050702916e-16,-1.66215908585e-14,-1.73254164419e-16,0.190114068441,-1.60750951785e-14,-1.13729698146e-15,-8.7010195682e-16,2.47686041385e-16,5.52672023044e-15,1.04959360505e-30,-2.51747387953e-16,-2.88720028429e-28,-1.54342563063e-15,0.0950570342205,3.87124755701e-16,-4.06449059592e-18,1.58239836478e-22,-1.03858089155e-14,-5.46106945332e-30,6.08036433973e-25,1.31955034823e-16,1.6826946097e-15,-8.37311056729e-17,8.9356065273e-33,-3.07038102125e-15,-6.71856057505e-25,2.7999705642e-15,1.86913625433e-31,3.73076066331e-17,-2.40489362832e-16,-1.76876556877e-14,3.91060026844e-15,1.30147508737e-16,5.88605025713e-17,-8.73646314518e-29,-5.87664613861e-16,-8.37252612287e-16,-8.11578014313e-18,1.62768301329e-16,-5.59412392834e-16,3.83402883321e-15,1.20937176296e-14,-1.25234704126e-31,-6.10734749723e-18,-8.42037722792e-21,-5.87019243428e-17,-1.96551218128e-17,0.714828897338,-4.32451490939e-140,2.93948661697e-15,2.7512206168e-17,-2.60669360095e-27,-4.89976416422e-19
0.0005,0.313915366303,0.0,400.0,4.209440191113982,-1.04058427887e-16,-2.17039226489e-19,-2.74653009802e-15,0.190114068441,-3.51564132363e-17,-2.3401562165e-14,-2.06155178647e-14,2.47728317577e-16,4.55400992682e-21,-2.32782787205e-33,-2.76289126107e-21,-5.86033354762e-27,-3.36764967587e-14,0.0950570342206,9.29942344165e-15,-1.16878915167e-16,4.94852565829e-21,-1.0432509545e-14,-1.74601436053e-28,-1.0352947247e-26,1.3195500164e-16,1.55650233493e-21,-8.37310928196e-17,2.57884872672e-31,-3.07038578902e-15,-2.29576862024e-23,2.79967817914e-15,2.53385705792e-30,3.73076079275e-17,-2.40489358263e-16,-4.02039566185e-16,1.02609683624e-17,1.30147834432e-16,5.88605116959e-17,-2.11543410532e-27,-1.42051451074e-14,-8.37252365025e-16,-8.11639119801e-18,1.65983110995e-16,-1.18153151345e-21,3.84061671467e-15,1.20871305242e-14,-1.4637344813e-33,-6.10734755147e-18,-8.42037763894e-21,-5.87019165556e-17,-5.8585122632e-16,0.714828897338,-1.2957409109e-139,2.93945187942e-15,2.75487978499e-17,-9.07725817532e-26,-4.89976992237e-19
0.00075,0.313915366303,0.0,400.0,4.209440191114032,-1.03911252832e-16,5.63525299477e-23,-1.1539220117e-15,0.190114068441,-6.61664965049e-18,-2.5435200959e-14,-2.06095759109e-14,2.48113538565e-16,7.80467034779e-27,-2.87090472848e-39,-6.26807734266e-26,-9.87813660681e-30,-3.77362287268e-14,0.0950570342206,9.29943163188e-15,-1.16880768462e-16,3.74490277485e-26,-1.04325306016e-14,4.8965543489e-30,-1.63303372967e-26,1.31954969428e-16,2.93526194125e-27,-8.37310816876e-17,-1.46497133854e-31,-3.07039116925e-15,-4.18246773075e-23,2.79945885724e-15,1.00881675912e-30,3.73076091009e-17,-2.40489353929e-16,-1.84781209072e-17,5.60183041097e-20,1.30147890887e-16,5.88605192548e-17,5.43419915121e-31,-1.45869412979e-14,-8.37252248293e-16,-8.11667056326e-18,1.63046691577e-16,-5.12799149007e-27,3.84390979272e-15,1.20838376546e-14,-7.63562140275e-39,-6.10734760416e-18,-8.42037805537e-21,-5.87019086677e-17,-5.85851483431e-16,0.714828897338,-1.50288203891e-139,2.93943616224e-15,2.7567093922e-17,-3.52794681561e-26,-4.89977419813e-19
0.001,0.313915366303,0.0,400.0,4.209440191114044,-1.03302949761e-16,6.27784315877e-23,-4.27842552687e-16,0.190114068441,-2.44461772659e-18,-2.6196279841e-14,-2.06033887697e-14,2.48257154062e-16,1.27729853937e-32,-6.32179206835e-42,-7.75780146675e-29,-5.40707326517e-30,-3.92570407652e-14,0.0950570342206,9.2994296701e-15,-1.16881367837e-16,-5.35180158518e-28,-1.04325497663e-14,1.80915792773e-30,-1.51068409409e-26,1.31954950456e-16,5.38525319977e-33,-8.37310771696e-17,-5.5899121675e-32,-3.07039939937e-15,-6.13422516884e-23,2.79919040343e-15,3.65816288255e-31,3.7307609637e-17,-2.40489351944e-16,-8.18085024097e-19,2.91170201904e-22,1.30147911247e-16,5.88605223349e-17,6.11888884508e-31,-1.46019939433e-14,-8.37252135961e-16,-8.11693766841e-18,1.60140025965e-16,-2.15610660193e-32,3.84720183856e-15,1.20805456876e-14,-4.08454507091e-42,-6.10734763024e-18,-8.42037826154e-21,-5.87019047625e-17,-5.85850598852e-16,0.714828897338,-1.69139136009e-139,2.93942205107e-15,2.75853890545e-17,-1.28048229354e-26,-4.89977614396e-19
0.0015625,0.313915366303,0.0,400.0,4.20944019111405,-9.50552588908e-17,6.27942535507e-23,-8.6080362692e-17,0.190114068441,-4.91970706748e-19,-2.6545479034e-14,-2.05897327211e-14,2.48320962889e-16,9.0936822879e-39,-9.86546374239e-44,-2.5243073382e-29,-1.89766550606e-30,-3.9953226853e-14,0.0950570342206,9.29942777729e-15,-1.16882711654e-16,-1.06267893002e-28,-1.04325900629e-14,3.55539071553e-31,-1.47407984709e-26,1.31954936054e-16,4.34266222492e-39,-8.37310720828e-17,-1.33530178285e-32,-3.07043155325e-15,-1.03080024239e-22,2.79857339255e-15,7.30504254967e-32,3.73076101647e-17,-2.40489349981e-16,-1.6193824046e-20,6.57622439167e-25,1.30147918805e-16,5.88605258068e-17,6.12043282429e-31,-1.45965200584e-14,-8.37251888784e-16,-8.11752515089e-18,1.53852974155e-16,-2.06799745282e-36,3.85460436837e-15,1.20731432463e-14,-7.85729862959e-44,-6.10734765413e-18,-8.42037845037e-21,-5.87019011855e-17,-5.8584867299e-16,0.714828897338,-2.13791858125e-139,2.93939735347e-15,2.76265512241e-17,-2.5289267286e-27,-4.89977792007e-19
0.002125,0.313915366303,0.0,400.0,4.209440191114051,-2.95314852697e-17,6.27773919375e-23,-1.7122648756e-17,0.190114068441,-9.79058630896e-20,-2.66156105472e-14,-2.05763373733e-14,2.48332861729e-16,6.35214015888e-45,5.5458950484e-46,-6.48076827504e-30,-4.88773369346e-31,-4.00921682437e-14,0.0950570342206,9.2994268803e-15,-1.16884053755e-16,-2.12922214345e-29,-1.04326290176e-14,6.8776837684e-32,-1.46680967783e-26,1.31954933249e-16,2.09878149103e-42,-8.37310697509e-17,-4.92557995906e-33,-3.07047348035e-15,-1.33230303564e-22,2.79811950333e-15,1.44572551137e-32,3.73076104332e-17,-2.4048934898e-16,-3.15332407181e-22,1.13989183428e-27,1.3014791941e-16,5.88605273981e-17,6.11878936004e-31,-1.45904977819e-14,-8.37251643349e-16,-8.11810974089e-18,1.4781497134e-16,-3.96532927117e-37,3.86200227199e-15,1.20657453817e-14,-3.63887504138e-45,-6.10734766719e-18,-8.42037855357e-21,-5.87018992305e-17,-5.8584676079e-16,0.714828897338,-2.62337061177e-139,2.93937767231e-15,2.76677117619e-17,-4.9418757322e-28,-4.89977880392e-19
0.00325,0.313915366303,0.0,400.0,4.209440191114045,1.46644668512e-15,6.27071772012e-23,-1.87571257712e-18,0.190114068441,-1.07754106334e-20,-2.66311479514e-14,-2.05504690202e-14,2.4833380013e-16,2.19669042953e-51,1.18908366258e-46,-7.01738847999e-31,-5.29373589686e-32,-4.01176248611e-14,0.0950570342206,9.29942569398e-15,-1.16886735823e-16,-2.87485970467e-30,-1.04327062879e-14,6.78250954337e-33,-1.4649593162e-26,1.31954934587e-16,1.77590525479e-43,-8.37310671592e-17,-3.09840985576e-33,-3.07055748387e-15,-1.34152288107e-22,2.79732291368e-15,1.57512364091e-33,3.73076106996e-17,-2.40489347985e-16,-3.07334242686e-24,-3.25071088884e-29,1.30147918336e-16,5.88605291751e-17,6.11194566897e-31,-1.45793282001e-14,-8.37251155748e-16,-8.11927708314e-18,1.36645626991e-16,-4.26221650895e-38,3.87678001421e-15,1.20509676826e-14,-1.29136593432e-46,-6.1073476793e-18,-8.42037864928e-21,-5.87018974173e-17,-5.85842944537e-16,0.714828897338,-3.74902697168e-139,2.93933861415e-15,2.77500264784e-17,-5.31809258764e-29,-4.8997796309e-19
0.004375,0.313915366303,0.0,400.0,4.2094401911139725,2.37375916681e-14,6.26311195591e-23,-2.05421061652e-19,0.190114068441,-1.22974564991e-21,-2.66329165317e-14,-2.05254353521e-14,2.48331677499e-16,7.59153513355e-58,4.11889661306e-47,4.74917756762e-36,-3.30649411133e-38,-3.98665291519e-14,0.0950570342206,9.29942457875e-15,-1.16889417225e-16,-8.9184362354e-31,-1.0432782791e-14,3.50088837957e-34,-1.45612355796e-26,1.31954936929e-16,5.23579597107e-47,-8.3731064567e-17,-2.88033001713e-33,-3.07061542997e-15,-9.54308514537e-23,2.74022465843e-15,1.7277653011e-34,3.73076109658e-17,-2.40489346991e-16,-2.99489544714e-26,-3.1843903364e-30,1.30147916861e-16,5.88605309524e-17,6.10453247993e-31,-1.45690018667e-14,-8.3725067061e-16,-8.12044369943e-18,1.26319835514e-16,-4.58905231706e-39,3.89153965794e-15,1.2036208082e-14,-2.90938919662e-48,-6.10734769141e-18,-8.42037874499e-21,-5.87018956052e-17,-5.85839130086e-16,0.714828897338,-5.01635041784e-139,2.93928666786e-15,2.78323339596e-17,-5.81464208687e-30,-4.89978046853e-19
0.0055,0.313915366303,0.0,400.0,4.209440191113443,3.55295855664e-13,6.25544665997e-23,-2.24904332202e-20,0.190114068441,-1.69418032541e-22,-2.66331328626e-14,-2.05011786399e-14,2.48329325792e-16,-1.40870537712e-64,4.57404911183e-47,-1.50119764844e-34,-2.52407770169e-37,-2.75940333877e-14,0.0950570342205,9.29942346178e-15,-1.16892099938e-16,-4.34696487924e-31,-1.04328216731e-14,-1.71873240542e-34,-7.53870701178e-26,1.31954938874e-16,3.0175119858e-48,-8.37310619739e-17,-1.78734711643e-33,-3.07064670581e-15,-4.29656931295e-23,-1.37810584666e-15,1.88530155071e-35,3.73076112321e-17,-2.40489345997e-16,-2.91797411199e-28,9.45273506288e-32,1.30147915409e-16,5.88605327348e-17,6.09706126514e-31,-1.45594554134e-14,-8.37250187737e-16,-8.12160975466e-18,1.16773920054e-16,-5.03700142347e-40,3.90628122537e-15,1.20214665577e-14,-4.48678918128e-47,-6.10734770352e-18,-8.42037884072e-21,-5.87018938107e-17,-5.85835316816e-16,0.714828897338,-6.01362405821e-139,2.93921910369e-15,2.79146331454e-17,-6.85004005505e-31,-4.89978132212e-19
0.006625,0.313915366301,0.0,399.999999996,4.2094401911315575,5.29131870504e-12,6.1470666341e-23,-2.46202749126e-21,0.19011406844,5.50131703103e-22,-2.66322156629e-14,-2.04784050749e-14,2.48326775908e-16,-2.58835984712e-65,-1.84995603042e-46,-1.40668839208e-27,-9.05724109061e-29,5.6182275122e-13,0.09505703422,9.29942193618e-15,-1.1689490877e-16,1.10831009299e-29,-1.04319049188e-14,-2.74361380749e-33,-9.72001301398e-22,1.31954906815e-16,-1.13833623962e-48,-8.37310593303e-17,4.85388027164e-32,-3.07119556691e-15,-8.18892123108e-22,-2.9535616494e-13,2.06243998642e-36,3.73076115017e-17,-2.40489344988e-16,-2.84256326662e-30,5.01985057252e-31,1.30147916208e-16,5.88605346319e-17,5.99142539154e-31,-1.45506299155e-14,-8.37249706982e-16,-8.12277530386e-18,1.07948952879e-16,-3.63189488027e-40,3.92100474069e-15,1.20067430864e-14,-8.28696587345e-48,-6.10734771576e-18,-8.42037893761e-21,-5.87018922513e-17,-5.85831504327e-16,0.714828897334,-6.3844743899e-139,2.93929417066e-15,2.79969272301e-17,1.91506930381e-30,-4.89978202872e-19
