z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.721260765797,0.0,600.0,2.8062934607420256,2.00039352207e-16,4.78155477393e-16,5.9015514345e-18,0.190114068441,2.78925585737e-19,3.09944077365e-16,5.38518518367e-17,1.89412194738e-16,1.17770617517e-14,-1.68722058095e-29,3.00298501555e-17,2.62433791407e-27,-6.46374368002e-15,0.0950570342205,5.03314395405e-16,4.0202523759e-19,1.33501589369e-22,4.9460841015e-15,6.97721114937e-31,2.64712098391e-24,5.97906570076e-16,7.29981232047e-16,-7.32198550074e-16,5.42810070122e-33,4.12720301222e-16,-2.57958491965e-23,1.99029818395e-15,1.53236048378e-31,-2.75177178999e-16,9.67795970289e-16,-4.16827615515e-15,-7.27953539767e-16,-4.01223556545e-17,-1.24981795561e-16,3.73661951899e-28,-1.87662556616e-16,-2.01520345737e-15,-2.58349118291e-18,-3.21315820573e-19,-1.35684479701e-16,7.54986004926e-18,-6.5122813236e-24,1.19393036098e-31,5.49761260744e-18,-9.6485116671e-17,2.45797466492e-18,-4.14016167429e-18,0.714828897338,2.03655799996e-164,-6.30770390615e-16,4.8310163108e-17,-1.694269065e-16,-3.27595914274e-17
0.0005,0.721260765797,0.0,600.0,2.8062934607412435,2.00791788386e-16,5.02134137178e-20,1.05266823247e-16,0.190114068441,5.06326743109e-18,6.90524802357e-15,1.46035569772e-15,1.89217079427e-16,2.59492457185e-20,-4.77937176367e-34,6.19921314792e-22,6.32437313149e-26,1.67097122071e-14,0.0950570342205,1.36826685132e-14,1.35404045318e-17,4.34185623654e-21,4.89927179566e-15,2.31344021066e-29,8.76765707607e-23,5.97906750682e-16,2.99818396799e-21,-7.32198577264e-16,1.77407882313e-31,3.74978028062e-16,-9.21136407463e-22,-2.43855859231e-15,3.38282781438e-30,-2.75178713021e-16,9.67795967187e-16,-1.40804720462e-17,-3.20300097137e-18,-4.01223493878e-17,-1.24981796316e-16,1.03904213302e-26,-5.13616901452e-15,-2.01520363857e-15,-2.58284063044e-18,-8.73777677012e-18,-1.1840317812e-21,7.54928142452e-18,-2.15819885281e-22,-1.13005814563e-34,5.49761257253e-18,-9.64851161638e-17,2.45797390146e-18,-1.40595089986e-16,0.714828897338,5.72300088066e-164,-5.92311150138e-16,4.72137008265e-17,-3.13108462059e-19,-3.27595911929e-17
0.001,0.721260765797,0.0,600.0,2.8062934607414523,2.01042136954e-16,-2.36809022993e-23,1.26179705155e-18,0.190114068441,9.21593813794e-20,7.02859100827e-15,1.7428879874e-15,1.89289118974e-16,5.60110857018e-26,-6.34381387077e-39,-3.02032049417e-26,-3.61176105672e-27,2.48484678898e-14,0.0950570342205,1.36822166256e-14,1.33444002843e-17,-2.74091292181e-24,4.93013755854e-15,3.99063821396e-32,4.17743420194e-22,5.97907257993e-16,1.21667309169e-26,-7.32198578605e-16,2.27707243969e-32,3.39580610786e-16,-8.05051307159e-22,-6.29689007038e-15,-1.03913365946e-31,-2.75178715904e-16,9.67795965746e-16,-4.66491736695e-20,-1.37789193619e-20,-4.01223473535e-17,-1.24981796635e-16,-4.8718474506e-30,-5.15989963406e-15,-2.0152037396e-15,-2.58304646201e-18,-2.60172016238e-18,-1.01879624238e-26,7.5491319808e-18,-6.80148227386e-23,2.31655346372e-39,5.49761255802e-18,-9.64851159119e-17,2.45797344449e-18,-1.40400887048e-16,0.714828897338,6.07094453282e-164,-5.56209544823e-16,4.61844534876e-17,-5.72854179869e-22,-3.27595910214e-17
0.002125,0.721260765797,0.0,600.0,2.806293460741811,2.08218911661e-16,-2.16282302176e-23,9.39622657923e-21,0.190114068441,3.54065088043e-20,7.13710261915e-15,2.39155732548e-15,1.89509861866e-16,5.32364199991e-32,7.34978115633e-42,-3.28772414738e-26,-2.77559785177e-27,3.85819139013e-14,0.0950570342205,1.3682210867e-14,1.29046428891e-17,-2.13435933566e-27,5.03738489647e-15,9.30416370909e-32,8.15981827492e-22,5.97909419915e-16,2.18252205073e-32,-7.32198580111e-16,2.24945526587e-32,2.70131127458e-16,-6.18506809155e-22,-1.29099768915e-14,-8.82427041357e-34,-2.75178715956e-16,9.67795964348e-16,-6.82118095006e-23,-2.61374702773e-23,-4.01223452216e-17,-1.24981797009e-16,-4.47569389248e-30,-5.16259594524e-15,-2.01520385117e-15,-2.58353402484e-18,-4.03672116852e-19,-3.87157469853e-32,7.54907540973e-18,-1.14140074541e-23,-2.63125304062e-42,5.49761254485e-18,-9.6485115683e-17,2.45797298434e-18,-1.39962621553e-16,0.714828897338,6.13257679287e-164,-4.85302167143e-16,4.41629098591e-17,-4.64176647477e-25,-3.27595907668e-17
0.00325,0.721260765797,0.0,600.0,2.806293460741828,3.31432550505e-16,1.77992506455e-25,2.04032773504e-21,0.190114068441,3.55109690854e-20,7.2459657341e-15,3.04323021532e-15,1.89791372404e-16,5.05992309799e-38,3.24943711752e-44,1.60064968249e-31,4.47946782851e-32,3.91734776681e-14,0.0950570342205,1.3682210675e-14,1.24678633156e-17,1.49227237994e-28,5.14622785824e-15,2.04550652473e-31,6.69243874721e-22,5.97911199368e-16,4.66958199594e-38,-7.32198581617e-16,7.08318278248e-32,2.10056599563e-16,-7.68167860231e-25,-1.29103551777e-14,8.38390437731e-36,-2.75178716003e-16,9.67795962951e-16,-9.97412315379e-26,-4.95790783534e-26,-4.01223430895e-17,-1.24981797384e-16,3.6842458832e-32,-5.16337296661e-15,-2.01520391053e-15,-2.58402019306e-18,-6.26188818232e-20,-1.50569591717e-37,7.54906594021e-18,-1.91536692859e-24,-9.99957098216e-45,5.49761253168e-18,-9.64851154542e-17,2.45797252431e-18,-1.39525724169e-16,0.714828897338,6.28426614688e-164,-4.2343399971e-16,4.23990795165e-17,-3.72830907795e-28,-3.27595905217e-17
0.004375,0.721260765797,0.0,600.0,2.8062934607418395,2.44628048668e-15,1.83199536282e-25,2.02603581997e-21,0.190114068441,3.6053198353e-20,7.3564959836e-15,3.69513621677e-15,1.90133343115e-16,4.80927059215e-44,-8.01000513652e-45,4.69656476709e-31,4.62722972239e-32,3.97738697571e-14,0.0950570342205,1.36822104874e-14,1.20324470641e-17,1.6342806344e-28,5.25674524714e-15,4.56578434246e-31,6.8416631056e-22,5.97913018367e-16,7.57724744485e-39,-7.32198583122e-16,1.64758401044e-31,1.57641069328e-16,-1.1456064158e-25,-1.29111839509e-14,1.40011771978e-35,-2.7517871605e-16,9.67795961553e-16,-1.46063603162e-28,-9.39025976379e-29,-4.01223409576e-17,-1.24981797758e-16,3.79285768749e-32,-5.16386039253e-15,-2.01520391795e-15,-2.58450484465e-18,-9.71358946344e-21,-3.08520843599e-39,7.54906437447e-18,-3.21441665538e-25,-9.82602553159e-45,5.4976125185e-18,-9.64851152253e-17,2.45797207155e-18,-1.39090190578e-16,0.714828897338,6.82538407071e-164,-3.69453001585e-16,4.08601083707e-17,7.31057824115e-30,-3.2759590296e-17
0.0055,0.721260765797,0.0,600.0,2.806293460741763,3.87456835057e-14,1.87484795322e-25,2.05673386199e-21,0.190114068441,3.66049744402e-20,7.46872456436e-15,4.3470314859e-15,1.90535771694e-16,4.57103697445e-50,-7.53566479051e-45,4.73454386026e-31,4.66460473343e-32,4.03819735766e-14,0.0950570342205,1.36822103046e-14,1.15983898744e-17,1.79905980596e-28,5.36896074887e-15,8.20076784066e-31,6.99712483235e-22,5.97914878562e-16,7.6077324942e-39,-7.32198584628e-16,5.98813819184e-32,1.11907607793e-16,-9.9655690412e-26,-1.29123998556e-14,1.40871621244e-35,-2.75178716096e-16,9.67795960156e-16,-4.32839143874e-31,-2.24051639336e-31,-4.01223388203e-17,-1.24981798134e-16,3.88184628568e-32,-5.16430180958e-15,-2.01520387287e-15,-2.58498798848e-18,-1.50679175239e-21,-1.86786642198e-39,7.5490641349e-18,-5.39925859921e-26,9.58067731389e-45,5.49761250532e-18,-9.64851149964e-17,2.45797161576e-18,-1.38656016503e-16,0.714828897338,8.86843114398e-164,-3.22353691029e-16,3.95173306349e-17,2.77424707372e-30,-3.2759590098e-17
0.006625,0.721260765798,0.0,600.0,2.8062934607401626,6.61791310999e-13,1.91796544922e-25,2.08804401762e-21,0.190114068441,3.7162799682e-20,7.58267268982e-15,4.99887834655e-15,1.90998647715e-16,4.34460673123e-56,-1.25087924931e-44,4.774173177e-31,4.70361786898e-32,4.09967315787e-14,0.0950570342204,1.36822101271e-14,1.11656874573e-17,1.99760372248e-28,5.48289435067e-15,1.26905342475e-30,7.15386710305e-22,5.97916780405e-16,7.63948264696e-39,-7.32198586159e-16,5.94780168842e-32,7.20041658645e-17,-8.73053575195e-26,-1.29139125058e-14,1.41422424914e-35,-2.75178716144e-16,9.67795958742e-16,-2.19211129494e-31,-7.26903700328e-32,-4.01223365089e-17,-1.24981798535e-16,3.9713830543e-32,-5.16473499539e-15,-2.01520377517e-15,-2.58546963027e-18,-2.33736442479e-22,-3.60506953375e-40,7.54906411814e-18,-9.14108285056e-27,9.2814736066e-45,5.497612492e-18,-9.6485114765e-17,2.45797110339e-18,-1.38223197564e-16,0.714828897338,1.71242063536e-163,-2.81258674285e-16,3.83457322894e-17,2.75301974904e-30,-3.27595899333e-17
0.00775,0.721260765805,0.0,600.0,2.8062934607124346,1.1355792664e-11,1.96631901152e-25,2.11964491012e-21,0.190114068439,3.77257663285e-20,7.69841069301e-15,5.65067138755e-15,1.91521662501e-16,4.30878039586e-62,7.66139728608e-45,4.81532085786e-31,4.74412034247e-32,4.161715961e-14,0.0950570342194,1.36822099105e-14,1.07343304723e-17,2.2193666212e-28,5.59855498982e-15,1.77506325671e-30,7.31170903033e-22,5.97918731925e-16,7.67230375311e-39,-7.32198589468e-16,5.91621231041e-32,3.71721376383e-17,-7.65940367717e-26,-1.2915623095e-14,1.42004634855e-35,-2.75178716233e-16,9.67795955991e-16,-2.18216453199e-31,-7.46726966867e-32,-4.01223281254e-17,-1.24981799573e-16,4.07175522499e-32,-5.1651659457e-15,-2.01520364838e-15,-2.58594979717e-18,-3.63245673554e-23,1.33878934802e-39,7.54906417166e-18,-1.64869981647e-27,9.75138915538e-45,5.49761246766e-18,-9.64851143422e-17,2.45796945179e-18,-1.37791722367e-16,0.71482889733,5.30101467857e-163,-2.45391512543e-16,3.73231785908e-17,2.73964334716e-30,-3.27595897197e-17
0.0083125,0.721260765851,0.0,600.0,2.80629346053039,8.15247800498e-11,2.02292574473e-25,2.13551304285e-21,0.190114068426,3.80084512525e-20,7.75793602098e-15,5.9765541853e-15,1.91798479963e-16,-9.38524434462e-64,-7.49842281189e-44,4.83628549541e-31,4.76475531101e-32,4.19286986155e-14,0.0950570342123,1.36822113731e-14,1.05189947347e-17,2.33498213737e-28,5.65682505427e-15,2.03880689548e-30,7.39090318331e-22,5.97919725526e-16,7.68897074945e-39,-7.32198592384e-16,5.90241291365e-32,2.09517527654e-17,-7.16101292442e-26,-1.29165158218e-14,1.4230404011e-35,-2.75178716308e-16,9.67795953133e-16,-2.17874871452e-31,-7.45189014667e-32,-4.01222708661e-17,-1.24981800667e-16,4.18905108125e-32,-5.16538115307e-15,-2.01520361111e-15,-2.58618952526e-18,-9.82926170088e-24,2.22459128855e-39,7.54906422696e-18,-5.87124602877e-28,-1.24090343844e-45,5.49761244095e-18,-9.64851138779e-17,2.45796519041e-18,-1.37576321132e-16,0.71482889728,1.1916640111e-162,-2.28686179052e-16,3.68469170558e-17,2.73391234038e-30,-3.27595895215e-17
