z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,26.400406263,-4.06985236405e-172,1450.0,1.8579596533904432,8.81133338927e-08,3.87644750908e-10,1.08215163085e-10,0.190113921069,3.13052142015e-10,1.93326818164e-07,9.06742528795e-09,5.49441573544e-10,6.74655713941e-15,5.82685476967e-19,1.03475643716e-13,1.51596626479e-14,8.02138139898e-08,0.0950567586453,6.82499686113e-09,9.62312990041e-11,1.1085814213e-12,8.22508823232e-08,8.18331253415e-15,2.38984823312e-11,8.52798449025e-10,-5.33611508529e-15,7.34102731643e-13,2.56027507841e-15,1.74142478472e-09,1.20650106223e-11,2.05750950242e-08,6.05641353822e-18,2.36920382324e-12,7.34556891681e-16,-3.89360837347e-17,9.88276635105e-20,3.39673910705e-22,9.36993898659e-18,5.15890537753e-16,9.28931093082e-17,1.85712586497e-18,4.47526787547e-13,5.28864708371e-20,-6.90335055564e-17,3.00072712432e-17,2.77854532848e-22,6.6428087453e-21,1.19439994595e-19,2.06809299726e-16,1.86842052186e-16,-6.1036154083e-20,0.714828835821,0.0,4.73689673483e-16,2.88510380622e-12,5.24260369966e-15,8.65845404548e-14
0.00075,26.4056143221,-4.06985236398e-172,1450.2727715,1.8575932023950803,1.29365571843e-05,3.43666686896e-08,3.68257258563e-08,0.190041649385,1.08571728342e-07,7.71283740526e-05,4.74783288541e-06,2.89646702959e-07,3.92576580593e-19,1.85418010627e-16,4.80068489466e-11,7.0332264549e-12,3.80638820043e-05,0.0949334489925,3.59855572336e-06,6.22035371612e-08,6.65633278679e-10,4.97932564009e-05,5.05241453387e-12,1.47550321285e-08,5.28397140316e-07,1.05653991534e-17,4.56824378273e-10,1.60500241267e-12,1.09187299549e-06,8.2330668127e-09,1.41557478728e-05,2.54916068331e-15,1.68830675494e-09,9.12438735269e-15,4.64393182392e-17,3.19327985356e-17,1.120413057e-19,9.36245918346e-18,2.78730899686e-13,4.93699510999e-14,1.10799463594e-15,2.93590335264e-10,2.77134587159e-17,-2.66269948943e-20,7.32678059828e-16,1.69394810253e-19,2.79601799885e-18,1.31289946417e-19,2.06361373394e-16,1.86197922437e-16,-3.96810905212e-17,0.714822296769,0.0,4.17425537166e-13,2.54221388297e-09,3.75618136399e-12,6.23596466134e-11
0.0015,26.4201631991,-4.06985236391e-172,1451.06266002,1.856570275517778,4.20527672693e-05,7.79541691657e-08,7.03835741271e-08,0.189905208973,2.17879082289e-07,0.000232401194531,7.60292967039e-06,5.04822948348e-07,6.48872367637e-22,4.39187876883e-16,1.60860097269e-10,2.40305975468e-11,6.64551030359e-05,0.0947036368954,1.77717104809e-05,2.77840876513e-07,2.66925629407e-09,0.000142882498112,2.32091537088e-11,3.36299005963e-08,1.7629745755e-06,1.64593764124e-16,3.19065394482e-09,1.33897816473e-11,4.90101109914e-06,2.89258204348e-08,5.62975078715e-05,4.55601118565e-14,1.56734489868e-08,1.25399084204e-13,8.99117644765e-17,1.54196939173e-16,1.38547010786e-18,9.4128968698e-18,6.26339849523e-13,1.54038764127e-13,6.52119990945e-15,7.7782961844e-10,1.34479225313e-16,3.28271149741e-23,2.69516857763e-15,5.74005944115e-19,6.62870340751e-18,2.54511077264e-19,2.05375445216e-16,1.85729300107e-16,-2.11473952397e-17,0.714817774216,0.0,3.39893443467e-12,1.77422424402e-08,3.13325088224e-11,4.7156424729e-10
0.00225,26.4440473977,-4.06985236385e-172,1452.36147458,1.854893425805298,8.93745135808e-05,1.26498904254e-07,9.93653066792e-08,0.189703731858,3.24260752041e-07,0.000465256110128,1.06496569816e-05,7.53306702048e-07,1.88553152302e-21,8.14547530079e-16,2.94661192202e-10,4.48291193173e-11,8.53017691104e-05,0.0943745926753,4.97991390579e-05,7.01645452764e-07,6.12704583145e-09,0.000267960455134,5.96441736997e-11,5.38352058111e-08,3.74715810104e-06,8.91443291431e-16,1.15440677317e-08,4.6577056594e-11,1.23561104624e-05,5.68726172446e-08,0.000123585827799,2.74990781514e-13,6.41287071539e-08,7.48987692541e-13,1.300140153e-16,3.99779183287e-16,7.6532970606e-18,1.01596936612e-17,1.01494491124e-12,3.21721707793e-13,2.19585344881e-14,1.46251282735e-09,3.50312766018e-16,1.54809238835e-22,6.42210528026e-15,1.06672275114e-18,1.2266416803e-17,7.25622358224e-19,2.0384820594e-16,1.87833753582e-16,-6.73582544845e-18,0.714811388779,0.0,1.13431002679e-11,5.47510952643e-08,1.08572138301e-10,1.58138130068e-09
0.002625,26.4584810444,-4.06985236381e-172,1453.1446615,1.85388154321278,0.000118308469814,1.54097255669e-07,1.13991034643e-07,0.189585015534,3.81679557663e-07,0.000602950382806,1.23313059838e-05,8.99102531697e-07,3.0596433237e-21,1.08453247889e-15,3.71866987264e-10,5.7049480078e-11,9.32411450517e-05,0.0941838253466,7.16508103548e-05,9.80176859118e-07,8.40127600229e-09,0.000337839447938,8.65322516108e-11,6.52232611636e-08,4.94854615156e-06,1.63079310377e-15,1.78798024712e-08,7.36865433773e-11,1.72097198009e-05,7.41535666405e-08,0.000163103858418,5.17025331393e-13,1.02444299406e-07,1.31842218328e-12,1.51484475851e-16,5.87097064981e-16,1.35644905421e-17,1.10462888609e-17,1.23657142151e-12,4.24928485053e-13,3.36425490944e-14,1.8605767553e-09,5.14240804238e-16,2.53088770751e-22,8.87880696796e-15,1.35790263824e-18,1.63040427335e-17,1.11893727552e-18,2.02944643844e-16,1.90396469212e-16,6.11382728397e-19,0.714806692451,0.0,1.7503128715e-11,8.07848546641e-08,1.71210192517e-10,2.40552134092e-09
0.003,26.4756230525,-4.06985236378e-172,1454.0716138,1.8526812219854176,0.000153260029386,1.85481274291e-07,1.29584326933e-07,0.189446113715,4.45415493081e-07,0.000764421345223,1.42144510152e-05,1.06998651296e-06,4.90909652392e-21,1.44485182611e-15,4.59965445296e-10,7.11396671174e-11,0.00010071658085,0.0939643234398,0.000100591810702,1.34212785048e-06,1.11809074094e-08,0.000415043741137,1.22193113615e-10,7.81099296665e-08,6.3838951288e-06,2.91189758713e-15,2.72451312015e-08,1.12895682142e-10,2.34097088297e-05,9.48885122571e-08,0.000208302298208,9.4866483372e-13,1.61061167773e-07,2.33195655965e-12,1.75500835697e-16,8.43489331675e-16,2.41277483284e-17,1.30904455572e-17,1.48929020893e-12,5.51729717574e-13,5.09016686488e-14,2.32155793348e-09,7.39321419087e-16,4.04189672016e-22,1.20937163912e-14,1.6975577e-18,2.16752065211e-17,1.75154564802e-18,2.01897720833e-16,1.95563804719e-16,9.26087208609e-18,0.71479955073,0.0,2.61136079439e-11,1.16199689908e-07,2.61243240447e-10,3.59390610421e-09
0.003375,26.4958770284,-4.06985236375e-172,1455.16249451,1.8512649955732887,0.00019534709599,2.22373152291e-07,1.47094685618e-07,0.189283682049,5.18915565085e-07,0.00095354200564,1.63310126197e-05,1.27094646553e-06,7.94733877175e-21,1.94972279203e-15,5.65866292137e-10,8.81990001945e-11,0.000108320341332,0.0937120206055,0.000138236846904,1.81342712104e-06,1.46078064531e-08,0.000500078550821,1.69544703959e-10,9.31838001685e-08,8.09072642588e-06,5.11509016252e-15,4.08805371488e-08,1.69748140936e-10,3.12790069954e-05,1.20652503851e-07,0.000259421036707,1.70973847653e-12,2.49006398344e-07,4.10521860621e-12,2.03847338596e-16,1.20014864523e-15,4.23741234178e-17,1.76496837812e-17,1.7870948025e-12,7.08690731604e-13,7.59745679086e-14,2.85464805146e-09,1.05215835481e-15,6.39178450637e-22,1.63306001803e-14,2.11676513753e-18,2.91763453703e-17,2.75331448116e-18,2.00704637534e-16,2.05283898503e-16,2.06188489794e-17,0.714788986251,0.0,3.81725199618e-11,1.63804204443e-07,3.90761646205e-10,5.29329292763e-09
0.00375,26.5198241861,-4.06985236371e-172,1456.44688155,1.8495933202850148,0.000246082310756,2.66664970075e-07,1.67371490822e-07,0.189093187621,6.05668636627e-07,0.00117557239074,1.87226420936e-05,1.50850186978e-06,1.31188327803e-20,2.68177720478e-15,6.97416605658e-10,1.09499922379e-10,0.000116410471786,0.0934213540567,0.000186683438725,2.43196420737e-06,1.88770682539e-08,0.000593807405999,2.32628600736e-10,1.11175483551e-07,1.01195352648e-05,8.89947482542e-15,6.05858912509e-08,2.52746439337e-10,4.12643705287e-05,1.53377828462e-07,0.000316990503945,3.04608997099e-12,3.79577643153e-07,7.17509308632e-12,2.38516502436e-16,1.70339869742e-15,7.32078047464e-17,2.75185463143e-17,2.14555525219e-12,9.054667282e-13,1.12022018106e-13,3.47139907687e-09,1.49306130723e-15,1.01098895479e-21,2.19978171649e-14,2.65438394661e-18,4.00145335247e-17,4.33549105072e-18,1.99370225264e-16,2.23034719116e-16,3.64762856171e-17,0.714773860676,0.0,5.51705513434e-11,2.27672326223e-07,5.78053089925e-10,7.72788462627e-09
0.004125,26.5482505213,-4.06985236368e-172,1457.96494674,1.8476128824514138,0.000307481859101,3.20720665714e-07,1.91351244213e-07,0.188868627507,7.09857153664e-07,0.00143747021228,2.1447242357e-05,1.79148681438e-06,2.22248898419e-20,3.77401190619e-15,8.64728106579e-10,1.36698165061e-10,0.000125248869181,0.093085005318,0.000248693211835,3.25264504706e-06,2.42595678197e-08,0.000697412845942,3.17209728739e-10,1.32979680973e-07,1.2536328591e-05,1.54326927296e-14,8.90254047197e-08,3.75151033609e-10,5.39752782611e-05,1.95613168622e-07,0.000381764633132,5.39795227778e-12,5.72673904116e-07,1.2466086942e-11,2.82151179758e-16,2.42327053971e-15,1.24621243695e-16,4.83833260054e-17,2.58432194398e-12,1.15617791647e-12,1.63600994217e-13,4.18654725868e-09,2.12286689184e-15,1.61281614613e-21,2.9732032315e-14,3.36508129698e-18,5.61217378256e-17,6.85102917877e-18,1.97918272627e-16,2.55041601502e-16,5.92039747616e-17,0.714752724369,0.0,7.93631951828e-11,3.13637661843e-07,8.51121197257e-10,1.12423860552e-08
0.0045,26.5822108744,-4.06985236365e-172,1459.77058754,1.8452524472638208,0.000382255911862,3.87755393596e-07,2.20235799608e-07,0.188602005395,8.37058367299e-07,0.00174848485014,2.45845781474e-05,2.13198114617e-06,3.88546140461e-20,5.45123200032e-15,1.08211747972e-09,1.72144338187e-10,0.00013508769621,0.092693338974,0.000327969647066,4.35592410221e-06,3.1142322459e-08,0.000812433988155,4.31760710801e-10,1.59793029677e-07,1.54275975315e-05,2.68426324597e-14,1.30234718872e-07,5.58200032979e-10,7.02490666055e-05,2.5093732624e-07,0.000454710303706,9.57338078667e-12,8.58656109433e-07,2.16000197989e-11,3.38662987798e-16,3.46956390991e-15,2.09841478107e-16,9.17914389723e-17,3.13032961273e-12,1.48181125468e-12,2.37437914174e-13,5.0192918707e-09,3.03664461978e-15,2.61560607081e-21,4.05516987761e-14,4.33292740037e-18,8.07447586093e-17,1.09098942742e-17,1.96413220573e-16,3.12522027134e-16,9.20515891623e-17,0.714723633121,0.0,1.14253956592e-10,4.3010813998e-07,1.25387477176e-09,1.63767759644e-08
